experiment_id,slice_type,slice_value,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage3_missing_ffill_mask_time_lstm,missing_slice,complete_dynamic,183231,3.5881027592160075,4.648259470394553,0.22395597705109893,0.4976572760882382,0.5100755481775328,-0.7980079597648797,0.7204780977758968
stage3_missing_ffill_mask_time_lstm,missing_slice,missing_dynamic,8988,5.1039935306914925,5.931517296490344,-0.0033970445932578475,0.15497939394267293,0.053498304059005,-0.48853504609997983,0.5819156454551231
stage4_history_10s_dynamic,fms_bin,0-5,68537,2.9174642024940964,3.680945863349575,-6.006466821868019,0.3515918023444535,0.3463444478665905,2.705255315856374,1.144272815067066
stage4_history_10s_dynamic,fms_bin,5-10,66541,2.2426186519323945,2.683563452320148,-3.6336242135333157,0.11646347069849737,0.11988742641950358,0.17754487701058091,0.3817692126099474
stage4_history_10s_dynamic,fms_bin,10-15,32361,4.174155737158652,4.8604940152898,-12.899091721218213,0.047472893846540486,0.05533347634061838,-4.1520469170455705,0.48174157206863616
stage4_history_10s_dynamic,fms_bin,15-20,24780,9.141013862181806,9.468905551052256,-24.990529429512197,0.09810123939169035,0.06223200987492155,-9.141013862181806,0.7436534907403072
stage4_history_10s_dynamic,missing_slice,complete_dynamic,183231,3.623259022020665,4.709316032266612,0.2034348448593294,0.4812021381649247,0.4966885186410495,-0.8661784840333193,0.7232706306089852
stage4_history_10s_dynamic,missing_slice,missing_dynamic,8988,5.215969650173484,6.063769777797859,-0.04864049209226695,0.06033137758825108,-0.048574379529743875,-0.5500519287336865,0.5919117378364105
stage4_history_10s_dynamic,near_update_event,0,177669,3.6596776825195487,4.7432127973149605,0.2160712993038021,0.4870636235517939,0.5040801693340143,-0.7595071684723672,0.7276687237631757
stage4_history_10s_dynamic,near_update_event,1,14550,4.162421642890859,5.222918591657992,-0.07809777274179508,0.33934358930028036,0.3273707062151749,-1.9734527441959098,0.5884212463580776
stage4_history_10s_dynamic,flat_interval,0,14550,4.162421642890859,5.222918591657992,-0.07809777274179508,0.33934358930028036,0.3273707062151749,-1.9734527441959098,0.5884212463580776
stage4_history_10s_dynamic,flat_interval,1,177669,3.6596776825195487,4.7432127973149605,0.2160712993038021,0.4870636235517939,0.5040801693340143,-0.7595071684723672,0.7276687237631757
stage4_history_20s_dynamic,fms_bin,0-5,61141,3.1623405825021162,3.855107604705256,-6.873287012573044,0.29930904567249855,0.297597677492055,3.0535660052864535,1.0787070261211213
stage4_history_20s_dynamic,fms_bin,5-10,65999,2.1681935367315965,2.594137097866962,-3.3183347114847024,0.10549391152264367,0.10127816207328179,0.25704961784857816,0.3576521543355061
stage4_history_20s_dynamic,fms_bin,10-15,32339,4.102132340470096,4.752093700486296,-12.294340994554437,0.055951863266070184,0.060958641923321975,-4.0875054704773985,0.46820239548323095
stage4_history_20s_dynamic,fms_bin,15-20,24864,9.110753754985685,9.416377666922134,-24.675881345012403,0.12143063609697706,0.08664469853518726,-9.110753754985685,0.73837200144451
stage4_history_20s_dynamic,missing_slice,complete_dynamic,172435,3.6804047237382913,4.733329620605277,0.17802663836784882,0.4536037692318164,0.4666952735430901,-0.863788804676235,0.6717947034648375
stage4_history_20s_dynamic,missing_slice,missing_dynamic,11908,5.123053524531812,5.970234109702132,-0.01665925354173292,0.11806252495482368,0.017877063461468896,-0.5126890646438291,0.6060690155818083
stage4_history_20s_dynamic,near_update_event,0,170089,3.7424027001335824,4.79028277202203,0.1884814439567125,0.4568605982550893,0.46946165310057775,-0.7487211854935747,0.6760946230908235
stage4_history_20s_dynamic,near_update_event,1,14254,4.145810091547366,5.195420854248704,-0.07199187897088022,0.3257785211676749,0.31610504767622777,-1.9435447030102904,0.5655767631972101
stage4_history_20s_dynamic,flat_interval,0,14254,4.145810091547366,5.195420854248704,-0.07199187897088022,0.3257785211676749,0.31610504767622777,-1.9435447030102904,0.5655767631972101
stage4_history_20s_dynamic,flat_interval,1,170089,3.7424027001335824,4.79028277202203,0.1884814439567125,0.4568605982550893,0.46946165310057775,-0.7487211854935747,0.6760946230908235
stage4_history_40s_dynamic,fms_bin,0-5,49704,3.6571431297112755,4.353515558531184,-9.371096849324012,0.2548929330845502,0.24033499988786894,3.6042362461002977,1.0606910469933386
stage4_history_40s_dynamic,fms_bin,5-10,62245,2.2512029551494477,2.685444279364612,-3.623449350111567,0.10242223696250533,0.09931215226726953,0.7657663452394498,0.34362892813517787
stage4_history_40s_dynamic,fms_bin,10-15,31618,3.69868275987875,4.418648647696371,-10.538754659275021,0.06255010240071675,0.06983882721091093,-3.635727156135327,0.4160636091349181
stage4_history_40s_dynamic,fms_bin,15-20,24648,8.648350737759216,9.000579298115364,-22.334480488648143,0.09031214433999686,0.08115119863602399,-8.648350737759216,0.6877433255948253
