experiment_id,fold,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage4_dose_cumulative_dose,3,38503,3.2320416728183856,3.987142952577705,0.31076680208154805,0.557592390790518,0.5780038915452554,0.056246169879183044,0.7043646808582574
stage4_dose_cumulative_dose,4,38398,4.107585700106277,5.288366036364926,0.10964861517872704,0.48638107476252396,0.4911994674758468,-1.9859132466760052,0.749789167893582
stage4_dose_window_stats,0,38454,4.00412958191351,5.323718296562786,0.09490673344184664,0.4835396535828951,0.49640511213743355,-2.0825223109848414,0.7076996869777379
stage4_dose_window_stats,1,38503,3.8659104183921906,4.992571475500443,0.18443699130295577,0.46667540980793026,0.4807849478183533,-0.9654770140536056,0.7099270375471816
stage4_dose_window_stats,2,38361,3.4260489636048557,4.2931903908441145,0.23654849444507375,0.5046025163385595,0.5318363437207699,0.5405173814632378,0.7197303649877849
stage4_dose_window_stats,3,38503,3.20256323950373,3.9654905796337783,0.31823230454076,0.5644986454865155,0.583704794434279,0.09362754859735578,0.7042861339406107
stage4_dose_window_stats,4,38398,4.025837085285413,5.1957434432308744,0.14056344832169476,0.4962299770965023,0.5047390566483325,-1.816703221909273,0.7365406934286917
stage4_dose_sequence_plus_dose,0,38454,3.984175411163877,5.209205758208321,0.1334248634587828,0.4748903380537911,0.4857264341044348,-1.6977733400767399,0.6770896283826732
stage4_dose_sequence_plus_dose,1,38503,3.8495641279558983,4.965324977367965,0.19331442087192896,0.47193328492265774,0.4861122601725104,-0.942829940417858,0.7046105400963891
stage4_dose_sequence_plus_dose,2,38361,3.4377036442806,4.29793812371151,0.23485899657129594,0.5100238801541263,0.5370329414157187,0.6370226274966535,0.7232901050451545
stage4_dose_sequence_plus_dose,3,38503,3.1758552608875643,3.9208708740421065,0.33348848975351564,0.5781314964870833,0.591554231314203,0.0820371145100246,0.7055898630051479
stage4_dose_sequence_plus_dose,4,38398,4.045155032234358,5.224070307251222,0.13116671552035186,0.5045850371787486,0.5096403162369851,-1.9648418432738335,0.750224185467761
stage4_static_static_only,0,38454,4.477755747955216,5.7200131143099675,-0.04485794491323425,0.3073983208789163,0.25981727876934974,-2.0488777104905647,0.7326830757553903
stage4_static_static_only,1,38503,4.299379739706118,5.452442964952352,0.027272486883087144,0.4483713249926966,0.34911421980652585,1.7739300201382726,0.6827270476670263
stage4_static_static_only,2,38361,3.8582744150899355,4.767332339926345,0.05860472198413236,0.26223643769319654,0.28241586626872284,0.4658802445453622,0.7407413870616169
stage4_static_static_only,3,38503,3.8979882380932835,4.904084433544893,-0.04269778650362266,0.16757870217179469,0.17918862248337508,-0.07208319310723622,0.7527356743718913
stage4_static_static_only,4,38398,4.627412383224425,5.894140549400182,-0.1060108796328918,0.24373166167090535,0.29485403733793314,-2.077734761265667,0.7781269392419322
stage4_static_dynamic,0,38454,3.988174952977574,5.290140048469093,0.10628810288905788,0.486796735894603,0.49514893115705144,-2.02060269803961,0.7031113912930367
stage4_static_dynamic,1,38503,3.83177977450703,4.976358042910251,0.18972549037995234,0.48153103648231294,0.4887313613985495,-1.0899900907133782,0.7229782797991996
stage4_static_dynamic,2,38361,3.3823221229627225,4.272832679427316,0.24377168965479756,0.5097993414904087,0.5322211365507277,0.42999690232503673,0.7196844121371248
stage4_static_dynamic,3,38503,3.194732566608363,3.965800067387205,0.3181258829104898,0.5652522187351782,0.5812594923590066,0.06929381886688518,0.7207351061045012
stage4_static_dynamic,4,38398,4.019114165379762,5.18541822966442,0.14397587573204318,0.5001700021764972,0.5048695857345613,-1.8223519874571252,0.7406621359314769
stage4_static_cumulative_dose,0,38454,4.074955889467777,5.348883597504163,0.08632972893102064,0.46385913426554337,0.4722365231371056,-1.9989687393773965,0.7119718325127035
stage4_static_cumulative_dose,1,38503,3.8888041541795775,5.0136094365560355,0.17754918485495652,0.46328325397540193,0.48423978171905735,-1.0251282387528051,0.7161718544746655
stage4_static_cumulative_dose,2,38361,3.4486434100855785,4.326899157075427,0.2245126714183664,0.49681456929743445,0.5285613700237041,0.5388438147457625,0.7187748206909389
stage4_static_cumulative_dose,3,38503,3.2489728624039316,3.999288961495145,0.3065611924059173,0.5543919321590982,0.5742365809544823,0.13305996596136704,0.7048668049535155
