duration_seconds,fold,model,metric_slice,window_count,window_mae,window_rmse,window_r2,session_macro_mae,session_macro_rmse,raw_pa_id_group_macro_mae,raw_pa_id_group_macro_rmse,train_time_seconds,inference_latency_ms_per_window,parameter_count
30.0,1,ridge_window_stats,,35380,4.211342621985894,5.263099265679038,0.16430626321478148,4.224652222520021,4.743649857742381,4.526772760351977,5.238636847926647,19.162379436194897,0.0022905222216590506,37
30.0,1,ridge_window_stats,fms_bin_0-5,10128,3.9087464154224687,4.552267700736117,-9.54509006979556,,,,,,,
30.0,1,ridge_window_stats,fms_bin_10-15,6377,3.5869382824503737,4.361425936335902,-10.345761662274272,,,,,,,
30.0,1,ridge_window_stats,fms_bin_15-20,7006,8.797970503767234,9.065481514804294,-22.380316537995867,,,,,,,
30.0,1,ridge_window_stats,fms_bin_5-10,11869,2.0976519920705963,2.481242880153439,-2.789872320934416,,,,,,,
30.0,1,ridge_window_stats,complete_dynamic,32491,4.104319756212884,5.151195120878996,0.15490956026338232,,,,,,,
30.0,1,ridge_window_stats,missing_dynamic,2889,5.414970151176228,6.388024698996344,-0.027683925288581213,,,,,,,
30.0,1,causal_tcn_linear,,35380,4.21207136169315,5.263265518019223,0.16425346609780533,4.2251985658618265,4.74428635382785,4.527465246352054,5.239391505721843,119.30100840330124,0.005163317214573353,97
30.0,1,causal_tcn_linear,fms_bin_0-5,10128,3.907738009674651,4.551188973654615,-9.540093032181236,,,,,,,
30.0,1,causal_tcn_linear,fms_bin_10-15,6377,3.5854260129829782,4.361966071696826,-10.34857203972075,,,,,,,
30.0,1,causal_tcn_linear,fms_bin_15-20,7006,8.796973147984843,9.064461854643554,-22.37505732775907,,,,,,,
30.0,1,causal_tcn_linear,fms_bin_5-10,11869,2.1020859933563694,2.485667527305449,-2.803400862884683,,,,,,,
30.0,1,causal_tcn_linear,complete_dynamic,32491,4.105097508348902,5.15134474991861,0.15486046411988819,,,,,,,
30.0,1,causal_tcn_linear,missing_dynamic,2889,5.415147674953571,6.388345182946695,-0.027787044634991265,,,,,,,
30.0,2,mean_fms,,35185,4.222111977762919,5.1451440075738,-0.009105593609724627,4.209926772306787,4.83013509397966,4.882720068514807,5.550595753617423,0.0021536722779273987,4.054907287439366e-05,1
30.0,2,mean_fms,fms_bin_0-5,9831,5.310607788637025,5.464061859477491,-17.057134684299154,,,,,,,
30.0,2,mean_fms,fms_bin_10-15,7555,4.2437938828685375,4.443438947895655,-10.384091925070617,,,,,,,
30.0,2,mean_fms,fms_bin_15-20,5183,9.298027030408958,9.429347212083638,-35.1538782685968,,,,,,,
30.0,2,mean_fms,fms_bin_5-10,12616,1.2755935228130315,1.487639151187261,-0.5017578464251127,,,,,,,
30.0,2,mean_fms,complete_dynamic,32247,4.138221641644833,5.021866941382096,-0.0016777518292987459,,,,,,,
30.0,2,mean_fms,missing_dynamic,2938,5.142878372854567,6.342646935838826,-0.47422408070860866,,,,,,,
30.0,2,ridge_window_stats,,35185,3.6376305140143876,4.462783538347244,0.2408052626789121,3.628774534582856,4.099131192264527,4.128987499974213,4.719279843407968,20.143394075334072,0.00233498316046967,37
30.0,2,ridge_window_stats,fms_bin_0-5,9831,3.692853892415583,4.2330152097735985,-9.837204793998144,,,,,,,
30.0,2,ridge_window_stats,fms_bin_10-15,7555,3.3344705951911133,4.006427236041951,-8.254958555606997,,,,,,,
30.0,2,ridge_window_stats,fms_bin_15-20,5183,7.68260012441597,7.934960720908882,-24.602430641993458,,,,,,,
30.0,2,ridge_window_stats,fms_bin_5-10,12616,2.1143580554645625,2.4704138038330394,-3.1413708428053857,,,,,,,
30.0,2,ridge_window_stats,complete_dynamic,32247,3.5915664745380553,4.3879555536487285,0.2352454588741587,,,,,,,
30.0,2,ridge_window_stats,missing_dynamic,2938,4.143221760098022,5.213975908737397,0.0037680467892085012,,,,,,,
30.0,2,causal_tcn_linear,,35185,3.6380343652229103,4.463217849289899,0.24065748825811728,3.6291394816063343,4.099220752509507,4.130255180863726,4.720976148446115,119.52831675857306,0.005189239072481204,97
30.0,2,causal_tcn_linear,fms_bin_0-5,9831,3.6916807867551857,4.2328433127594,-9.83632464345322,,,,,,,
30.0,2,causal_tcn_linear,fms_bin_10-15,7555,3.3352082709917106,4.006612946602934,-8.255816568633852,,,,,,,
30.0,2,causal_tcn_linear,fms_bin_15-20,5183,7.6815341426203965,7.93513856173588,-24.603578274255817,,,,,,,
30.0,2,causal_tcn_linear,fms_bin_5-10,12616,2.1163946874788495,2.4724157047686477,-3.1480854857558906,,,,,,,
30.0,2,causal_tcn_linear,complete_dynamic,32247,3.5918144587873946,4.388108636647752,0.23519209782281136,,,,,,,
30.0,2,causal_tcn_linear,missing_dynamic,2938,4.145336381160872,5.217013068022402,0.0026070915318255894,,,,,,,
30.0,3,mean_fms,,35345,4.104002044854039,4.964279162781832,-0.055231000689041965,4.104934760601896,4.69678665823061,4.224452641180032,4.954325898080153,0.002096131443977356,4.260943724826128e-05,1
30.0,3,mean_fms,fms_bin_0-5,12388,5.814275432543427,5.975480616806431,-17.78719143600473,,,,,,,
30.0,3,mean_fms,fms_bin_10-15,5278,3.7954991136670073,4.022107184361422,-8.131836166073377,,,,,,,
30.0,3,mean_fms,fms_bin_15-20,3270,9.386043905793578,9.53962823111629,-30.308675387598644,,,,,,,
30.0,3,mean_fms,fms_bin_5-10,14409,1.5479006400946835,1.7817892825939525,-1.1668299065069756,,,,,,,
30.0,3,mean_fms,complete_dynamic,32717,4.082896223270258,4.9300113645924055,-0.06900112868395136,,,,,,,
30.0,3,mean_fms,missing_dynamic,2628,4.366756673743455,5.372625316332457,-0.0035236078923770453,,,,,,,
30.0,3,ridge_window_stats,,35345,3.692905386973782,4.430214383450988,0.1596027250770753,3.6888258431741985,4.149489937187712,4.172589711152186,4.752897940728392,19.415637724101543,0.002325117832566441,37
30.0,3,ridge_window_stats,fms_bin_0-5,12388,4.441077028686521,4.947035202549037,-11.876747458601479,,,,,,,
30.0,3,ridge_window_stats,fms_bin_10-15,5278,2.7894524211894858,3.4786172633031818,-5.830682942946045,,,,,,,
30.0,3,ridge_window_stats,fms_bin_15-20,3270,7.570985498540721,7.832897633006855,-20.107981030936045,,,,,,,
30.0,3,ridge_window_stats,fms_bin_5-10,14409,2.500508446939695,2.9575774871557536,-4.970138411547885,,,,,,,
30.0,3,ridge_window_stats,complete_dynamic,32717,3.600533137795775,4.330317931960387,0.17525082500611688,,,,,,,
30.0,3,ridge_window_stats,missing_dynamic,2628,4.842883650427625,5.524657048975181,-0.061121545709967195,,,,,,,
30.0,3,causal_tcn_linear,,35345,3.692683078296415,4.429736717661159,0.15978393860414697,3.68857933661334,4.149360253819525,4.172771727480884,4.752777570615128,121.22493191808462,0.005334819336223508,97
30.0,3,causal_tcn_linear,fms_bin_0-5,12388,4.438315987451746,4.9453880663146546,-11.868174151352704,,,,,,,
30.0,3,causal_tcn_linear,fms_bin_10-15,5278,2.791741095957273,3.4796355957865663,-5.834682764677493,,,,,,,
30.0,3,causal_tcn_linear,fms_bin_15-20,3270,7.567118203141587,7.829453526258187,-20.089422852156286,,,,,,,
30.0,3,causal_tcn_linear,fms_bin_5-10,14409,2.5023762177179583,2.9598206762216095,-4.979198007068234,,,,,,,
30.0,3,causal_tcn_linear,complete_dynamic,32717,3.6002601301359154,4.329843022302015,0.17543171697621185,,,,,,,
30.0,3,causal_tcn_linear,missing_dynamic,2628,4.843292513215323,5.524139587546966,-0.060922777261272376,,,,,,,
30.0,4,mean_fms,,35211,4.484918583656471,5.531626350480244,-0.001384186007449717,4.493661141987828,5.091641010567988,4.349202748935686,5.166408302924971,0.0022055357694625854,4.069729680918323e-05,1
30.0,4,mean_fms,fms_bin_0-5,10781,5.539880653544427,5.703148636926306,-16.719236722858135,,,,,,,
30.0,4,mean_fms,fms_bin_10-15,6291,3.9310791885420944,4.1183724043498255,-10.250268587600983,,,,,,,
30.0,4,mean_fms,fms_bin_15-20,5423,10.181235060728946,10.391867342605797,-23.920827998137113,,,,,,,
30.0,4,mean_fms,fms_bin_5-10,12716,1.4351807182933356,1.645230546343642,-0.6252837730578127,,,,,,,
30.0,4,mean_fms,complete_dynamic,32643,4.464136296294569,5.49965299834273,-0.0002748894299495763,,,,,,,
30.0,4,mean_fms,missing_dynamic,2568,4.749091561208682,5.923031885525915,-0.08535212583816998,,,,,,,
30.0,4,ridge_window_stats,,35211,4.15704645010808,5.1245784657235065,0.14056833722985684,4.164963499117072,4.655729498367237,4.217502781054362,4.940299895943292,19.625826589763165,0.0022787735437880333,37
30.0,4,ridge_window_stats,fms_bin_0-5,10781,4.392821524600277,5.000193500523852,-12.620380864582721,,,,,,,
30.0,4,ridge_window_stats,fms_bin_10-15,6291,3.4353183633281072,4.0968493439252285,-10.132985611996276,,,,,,,
30.0,4,ridge_window_stats,fms_bin_15-20,5423,8.656093224504964,9.060529431339983,-17.944468717743643,,,,,,,
30.0,4,ridge_window_stats,fms_bin_5-10,12716,2.395499553149782,2.864787392244364,-3.9278838637978506,,,,,,,
30.0,4,ridge_window_stats,complete_dynamic,32643,4.099380425654347,5.088912284990034,0.14355649517354296,,,,,,,
30.0,4,ridge_window_stats,missing_dynamic,2568,4.890065155810359,5.558037669231765,0.044291405058839994,,,,,,,
30.0,4,causal_tcn_linear,,35211,4.156526409948656,5.123686031043342,0.14086764763817805,4.164444169748602,4.654594549650959,4.2163403106992705,4.938361694087123,118.76580876111984,0.005161559145695233,97
